original_region,original_pdf,prior_cases_count,county,pdf_file
Clark,2020-10-06_ID 1437424(1).pdf,0,Clark,2020-10-06_ID 1437424(1).pdf
Clark,2020-10-07_ID 1475936.pdf,0,Clark,2020-10-07_ID 1475936.pdf
Clark,2020-10-08_ID 1475961.pdf,0,Clark,2020-10-08_ID 1475961.pdf
Clark,2020-10-10_ID 1402477.pdf,6,Clark,2020-10-10_ID 1402477.pdf
Clark,2020-10-10_ID 1403600.pdf,6,Clark,2020-10-10_ID 1403600.pdf
Clark,2020-10-12_ID 1476021.pdf,0,Clark,2020-10-12_ID 1476021.pdf
Clark,2020-10-13_ID 1470022(1).pdf,1,Clark,2020-10-13_ID 1470022(1).pdf
Clark,2020-10-14_ID 1476188.pdf,1,Clark,2020-10-14_ID 1476188.pdf
Clark,2020-10-19_ID 1404161.pdf,6,Clark,2020-10-19_ID 1404161.pdf
Clark,2020-10-24_ID 1341547.pdf,0,Clark,2020-10-24_ID 1341547.pdf
Clark,2020-10-25_ID 1466745.pdf,1,Clark,2020-10-25_ID 1466745.pdf
Clark,2020-10-25_ID 1476610.pdf,0,Clark,2020-10-25_ID 1476610.pdf
Clark,2020-11-05_ID 1433581.pdf,5,Clark,2020-11-05_ID 1433581.pdf
Clark,2020-11-06_ID 1456239.pdf,6,Clark,2020-11-06_ID 1456239.pdf
Clark,2020-11-08_ID 1419258.pdf,5,Clark,2020-11-08_ID 1419258.pdf
Clark,2020-11-12_ID 1477294.pdf,0,Clark,2020-11-12_ID 1477294.pdf
Clark,2020-11-20_ID 1358371(1).pdf,11,Clark,2020-11-20_ID 1358371(1).pdf
Clark,2020-11-24_ID 1415794_5 day.pdf,2,Clark,2020-11-24_ID 1415794_5 day.pdf
Clark,2020-11-26_ID 1391437.pdf,3,Clark,2020-11-26_ID 1391437.pdf
Clark,2020-11-29_ID 1477835(1) (002).pdf,4,Clark,2020-11-29_ID 1477835(1) (002).pdf
Clark,2020-11-30_ID 1391898.pdf,22,Clark,2020-11-30_ID 1391898.pdf
Clark,2020-12-04_ID 1421185.pdf,10,Clark,2020-12-04_ID 1421185.pdf
Clark,2020-12-05_ID 1410136.pdf,7,Clark,2020-12-05_ID 1410136.pdf
Clark,2020-12-05_ID 1478093.pdf,0,Clark,2020-12-05_ID 1478093.pdf
Clark,2020-12-05_ID 1478097.pdf,0,Clark,2020-12-05_ID 1478097.pdf
Clark,2020-12-06_ID 1437676.pdf,9,Clark,2020-12-06_ID 1437676.pdf
Clark,2020-12-07_ID 1478114.pdf,2,Clark,2020-12-07_ID 1478114.pdf
Clark,2020-12-15_ID 1478450(1).pdf,0,Clark,2020-12-15_ID 1478450(1).pdf
Clark,2020-12-16_ID 1402188.pdf,6,Clark,2020-12-16_ID 1402188.pdf
Clark,2020-12-16_ID 1465617.pdf,1,Clark,2020-12-16_ID 1465617.pdf
Clark,2020-12-22_ID 1478662.pdf,0,Clark,2020-12-22_ID 1478662.pdf
Clark,2020-12-27_ID 1432917(1).pdf,2,Clark,2020-12-27_ID 1432917(1).pdf
Clark,2020-12-27_ID 1466228.pdf,0,Clark,2020-12-27_ID 1466228.pdf
Clark,2020-12-30_ID 1478894(1) 2020.pdf,0,Clark,2020-12-30_ID 1478894(1) 2020.pdf
Clark,2020_04_11_ID_1474628.pdf,0,Clark,2020_04_11_ID_1474628.pdf
Clark,2021-01-01_ID 1478934.pdf,2,Clark,2021-01-01_ID 1478934.pdf
Clark,2021-01-01_ID1478934.pdf,2,Clark,2021-01-01_ID1478934.pdf
Clark,2021-01-04_ID 1478970.pdf,0,Clark,2021-01-04_ID 1478970.pdf
Clark,2021-01-04_ID1478970.pdf,0,Clark,2021-01-04_ID1478970.pdf
Clark,2021-01-12_ID 1480033.pdf,0,Clark,2021-01-12_ID 1480033.pdf
Clark,2021-01-16_ID 1458420.pdf,4,Clark,2021-01-16_ID 1458420.pdf
Clark,2021-01-16_ID1458420.pdf,4,Clark,2021-01-16_ID1458420.pdf
Clark,2021-01-17_ID 1475771.pdf,1,Clark,2021-01-17_ID 1475771.pdf
Clark,2021-01-20_ID 1474158.pdf,1,Clark,2021-01-20_ID 1474158.pdf
Clark,2021-01-22_ID 1439777.pdf,3,Clark,2021-01-22_ID 1439777.pdf
Clark,2021-01-22_ID 1479677.pdf,0,Clark,2021-01-22_ID 1479677.pdf
Clark,2021-01-24_ID 1476942.pdf,3,Clark,2021-01-24_ID 1476942.pdf
Clark,2021-02-02_ID 1480080.pdf,0,Clark,2021-02-02_ID 1480080.pdf
Clark,2021-02-03_ID 1448455 (003).pdf,3,Clark,2021-02-03_ID 1448455 (003).pdf
Clark,2021-02-03_ID1448455.pdf,3,Clark,2021-02-03_ID1448455.pdf
Clark,2021-02-04_ID 1307373(1) (002).pdf,3,Clark,2021-02-04_ID 1307373(1) (002).pdf
Clark,2021-02-05_ID 1480210 DUPE.pdf,0,Clark,2021-02-05_ID 1480210 DUPE.pdf
Clark,2021-02-05_ID 1480210(1).pdf,0,Clark,2021-02-05_ID 1480210(1).pdf
Clark,2021-02-08_ID 1459074(1).pdf,11,Clark,2021-02-08_ID 1459074(1).pdf
Clark,2021-02-12_ID 1455679 (002).pdf,2,Clark,2021-02-12_ID 1455679 (002).pdf
Clark,2021-02-13_ID 1480482.pdf,0,Clark,2021-02-13_ID 1480482.pdf
Clark,2021-02-15_ID 1462722.pdf,1,Clark,2021-02-15_ID 1462722.pdf
Clark,2021-02-22_ID 1480821.pdf,0,Clark,2021-02-22_ID 1480821.pdf
Clark,2021-02-28_ID 1481045.pdf,0,Clark,2021-02-28_ID 1481045.pdf
Clark,2021-03-09_ID 1366882 DUPE.pdf,11,Clark,2021-03-09_ID 1366882 DUPE.pdf
Clark,2021-03-09_ID 1366882(1).pdf,11,Clark,2021-03-09_ID 1366882(1).pdf
Clark,2021-03-11_ID 1481490 (002).pdf,0,Clark,2021-03-11_ID 1481490 (002).pdf
Clark,2021-03-12_ID 1481546 DUPE.pdf,0,Clark,2021-03-12_ID 1481546 DUPE.pdf
Clark,2021-03-12_ID 1481546(1) (002).pdf,0,Clark,2021-03-12_ID 1481546(1) (002).pdf
Clark,2021-03-16_ID 1481705.pdf,0,Clark,2021-03-16_ID 1481705.pdf
Clark,2021-03-18_ID 1481762(1).pdf,0,Clark,2021-03-18_ID 1481762(1).pdf
Clark,2021-03-18_ID 1481763.pdf,0,Clark,2021-03-18_ID 1481763.pdf
Clark,2021-03-18_ID1481763.pdf,0,Clark,2021-03-18_ID1481763.pdf
Clark,2021-03-20_ID 1463858.pdf,2,Clark,2021-03-20_ID 1463858.pdf
Clark,2021-03-20_ID 1481854.pdf,0,Clark,2021-03-20_ID 1481854.pdf
Clark,2021-03-23_ID 1481919.pdf,0,Clark,2021-03-23_ID 1481919.pdf
Clark,2021-03-30_ID 1482226.pdf,0,Clark,2021-03-30_ID 1482226.pdf
Clark,2021-03-30_ID1482226.pdf,0,Clark,2021-03-30_ID1482226.pdf
Clark,2021-04-05_ID 1457989 (003).pdf,2,Clark,2021-04-05_ID 1457989 (003).pdf
Clark,2021-04-06_ID 1471160.pdf,2,Clark,2021-04-06_ID 1471160.pdf
Clark,2021-04-07_ID 1482530(1).pdf,0,Clark,2021-04-07_ID 1482530(1).pdf
Clark,2021-04-09_ID 1431638 (002).pdf,1,Clark,2021-04-09_ID 1431638 (002).pdf
Clark,2021-04-10_ID 1376728 (002).pdf,3,Clark,2021-04-10_ID 1376728 (002).pdf
Clark,2021-04-12_ID 1482685 (002).pdf,0,Clark,2021-04-12_ID 1482685 (002).pdf
Clark,2021-04-13_ID 1482766.pdf,0,Clark,2021-04-13_ID 1482766.pdf
Clark,2021-04-14_ID 1284572(1).pdf,2,Clark,2021-04-14_ID 1284572(1).pdf
Clark,2021-04-14_ID 1482893(1).pdf,0,Clark,2021-04-14_ID 1482893(1).pdf
Clark,2021-04-14_ID1284572(1).pdf,2,Clark,2021-04-14_ID1284572(1).pdf
Clark,2021-04-14_ID1482893(1).pdf,0,Clark,2021-04-14_ID1482893(1).pdf
Clark,2021-04-28-21_ID 1418043.pdf,8,Clark,2021-04-28-21_ID 1418043.pdf
Clark,2021-05-11_ID 1471750(1).pdf,2,Clark,2021-05-11_ID 1471750(1).pdf
